"id","latitude","longitude","district"
142,31.99824767,74.28470992,"Gujranwala"
143,30.7881303,73.96029352,"Okara"
144,33.76492817,72.50501268,"Attock"
145,32.45834015,72.89013575,"Sargodha"
146,31.87801853,72.90268709,"Sargodha"
147,32.01753804,72.21315019,"Khushab"
148,30.67357296,71.30920424,"Muzaffargarh"
149,32.39312501,72.48580703,"Khushab"
150,29.15303096,69.88735722,"Rajanpur"
151,31.9027348,73.01167741,"Chiniot"
152,30.53038466,71.97477153,"Khanewal"
153,30.09648331,71.92110084,"Khanewal"
154,29.49156673,70.55111673,"Rajanpur"
155,32.62816808,74.43181632,"Sialkot"
156,29.73970933,70.84598107,"Muzaffargarh"
157,33.72182995,72.57169103,"Attock"
158,28.76491844,71.57531958,"Bahawalpur"
159,30.58650755,74.01973126,"Okara"
160,30.99166473,72.24754414,"Jhang"
161,30.98193793,71.84428475,"Jhang"
162,29.09378181,70.66217422,"Muzaffargarh"
163,33.43059891,72.09466499,"Attock"
164,31.58547317,72.64081346,"Chiniot"
165,32.80458652,74.15362768,"Gujrat"
166,30.86985294,71.39321217,"Layyah"
167,30.7661826,72.67495265,"Toba Tek Singh"
168,28.42409883,71.21568832,"Bahawalpur"
169,30.30144411,70.16241452,"Dera Ghazi Khan"
170,32.51816984,71.73626997,"Mianwali"
171,32.50401516,74.60185874,"Sialkot"
172,31.36437256,74.1256811,"Lahore"
173,28.51027888,71.80680689,"Bahawalpur"
174,30.70910656,70.20227764,"Dera Ghazi Khan"
175,31.2758111,73.84972669,"Nankana Sahib"
176,31.62965649,74.22884509,"Sheikhupura"
177,31.91460109,73.73684514,"Sheikhupura"
178,32.74570534,71.35365792,"Mianwali"
179,28.18256167,69.98203305,"Rahim Yar Khan"
180,32.33816864,72.64825137,"Sargodha"
181,31.00375967,70.51075788,"Dera Ghazi Khan"
182,31.51122912,72.95838338,"Faisalabad"
183,28.89834541,72.27086764,"Bahawalpur"
184,32.48310036,74.27347278,"Sialkot"
185,31.61961197,72.14254362,"Jhang"
186,33.30864421,71.97624461,"Attock"
187,32.31801225,72.10831269,"Khushab"
188,32.44535043,71.94704323,"Khushab"
189,31.7632047,73.81352406,"Sheikhupura"
190,30.03782001,70.65798832,"Dera Ghazi Khan"
191,28.87409167,71.49551561,"Bahawalpur"
192,28.4007213,71.13467412,"Bahawalpur"
193,30.78562701,73.28218299,"Sahiwal"
194,29.49653978,69.9715934,"Rajanpur"
195,29.17650972,69.75756151,"Rajanpur"
196,30.49834121,70.44942938,"Dera Ghazi Khan"
197,31.2854302,73.7357092,"Nankana Sahib"
198,29.09225629,71.47714695,"Bahawalpur"
199,30.48422135,71.93903829,"Khanewal"
200,29.18831355,71.4354414,"Bahawalpur"
201,28.82131974,71.67302472,"Bahawalpur"
202,31.0483392,72.43386344,"Toba Tek Singh"
203,30.71575736,72.0301961,"Khanewal"
204,31.4846545,71.4472868,"Bhakkar"
205,32.59201738,74.39165264,"Sialkot"
206,31.74578375,73.05094262,"Chiniot"
207,31.17974158,71.30345726,"Layyah"
208,30.82407583,72.17895651,"Jhang"
209,28.90505103,71.78432061,"Bahawalpur"
210,30.53988038,74.02951379,"Okara"
211,30.3929114,71.82118192,"Khanewal"
212,28.8454637,71.13903487,"Bahawalpur"
213,30.8506531,70.79998044,"Layyah"
214,31.65543785,72.12962551,"Jhang"
215,30.58258812,72.83172767,"Sahiwal"
216,29.39213808,70.80998086,"Muzaffargarh"
217,31.45065114,72.82349654,"Chiniot"
218,29.86681813,72.72405887,"Bahawalnagar"
219,33.44929141,73.57639387,"Rawalpindi"
220,32.6996623,72.92630944,"Chakwal"
221,28.32787247,70.81346106,"Rahim Yar Khan"
222,29.14966257,71.31449493,"Bahawalpur"
223,32.99423945,72.40722455,"Chakwal"
224,31.49695835,74.22120699,"Lahore"
225,30.20698948,71.95387357,"Khanewal"
226,31.94567774,73.79650855,"Sheikhupura"
227,32.47151086,72.06174579,"Khushab"
228,32.63976108,71.89520408,"Chakwal"
229,28.72021057,70.82043629,"Rahim Yar Khan"
230,29.81394317,71.63834993,"Lodhran"
231,31.74222129,74.47462927,"Sheikhupura"
232,32.71279284,73.89758536,"Gujrat"
233,33.88915876,72.7194445,"Attock"
234,29.89174531,70.90322174,"Muzaffargarh"
235,32.11493465,71.77886322,"Khushab"
236,29.37939716,72.2036101,"Bahawalpur"
237,31.61854231,73.9868746,"Sheikhupura"
238,29.28416258,70.859789,"Muzaffargarh"
239,28.38970426,71.76013746,"Bahawalpur"
240,29.86703247,71.92926528,"Lodhran"
241,32.29145045,71.81007901,"Khushab"
242,30.08380822,70.51688855,"Dera Ghazi Khan"
243,30.97167267,70.26304673,"Dera Ghazi Khan"
244,28.15965649,70.69671572,"Rahim Yar Khan"
245,31.26313237,71.18819749,"Layyah"
246,30.86073746,71.86190606,"Jhang"
247,32.28890953,72.84375606,"Sargodha"
248,31.79111122,71.73476041,"Khushab"
249,28.52140153,71.50239899,"Bahawalpur"
250,32.17747101,73.75628481,"Hafizabad"
251,31.71219379,72.44157179,"Sargodha"
252,28.47409517,71.65633116,"Bahawalpur"
253,31.58499767,73.65070295,"Sheikhupura"
254,32.67446595,72.81776965,"Chakwal"
255,31.14534767,70.38718445,"Dera Ghazi Khan"
256,32.00184088,71.56616487,"Bhakkar"
257,32.07328082,73.31457074,"Hafizabad"
258,32.94606812,73.15974967,"Chakwal"
259,32.55650122,74.66991288,"Sialkot"
260,29.13241241,70.57980734,"Muzaffargarh"
261,31.16331748,71.70603491,"Layyah"
262,30.47684348,73.16063708,"Pakpattan"
263,31.10571885,74.00491672,"Kasur"
264,28.65853046,69.5492176,"Rajanpur"
265,30.66082221,73.24827912,"Sahiwal"
266,29.64176765,72.05578468,"Lodhran"
267,29.48098809,72.06804413,"Bahawalpur"
268,29.81037524,71.16417949,"Muzaffargarh"
269,30.78274039,72.44407223,"Toba Tek Singh"
270,31.04348374,70.75597674,"Dera Ghazi Khan"
271,28.5632409,72.15984726,"Bahawalpur"
272,29.34949583,70.64604938,"Muzaffargarh"
273,30.20320317,70.70798404,"Dera Ghazi Khan"
274,29.97956355,72.0593373,"Vehari"
275,33.66913784,72.81527161,"Rawalpindi"
276,29.25620001,71.82070567,"Bahawalpur"
277,30.06103763,70.24906406,"Dera Ghazi Khan"
278,30.46751884,71.47862879,"Muzaffargarh"
279,28.83060786,70.32776887,"Rajanpur"
280,31.66138886,72.18640045,"Jhang"
281,33.59105054,73.59563527,"Rawalpindi"
282,32.03590197,74.76494813,"Narowal"
283,31.86864923,74.58052686,"Sheikhupura"
284,28.74891024,70.46670009,"Rahim Yar Khan"
285,29.19464077,72.53370382,"Bahawalnagar"
286,32.83551012,74.01558893,"Gujrat"
287,31.05641534,74.28636264,"Kasur"
288,30.65789068,70.64962206,"Dera Ghazi Khan"
289,33.11737026,72.09015838,"Chakwal"
290,32.19485934,72.02056297,"Khushab"
291,30.38057919,72.20582001,"Khanewal"
292,28.05917077,70.47201177,"Rahim Yar Khan"
293,32.59921911,73.68429643,"Mandi Bahuddin"
294,32.35281431,74.55169937,"Sialkot"
295,32.53956262,73.45681327,"Mandi Bahuddin"
296,33.08695443,73.12017147,"Rawalpindi"
297,29.2519132,70.98331997,"Bahawalpur"
298,30.47382378,72.0614929,"Khanewal"
299,32.79847801,71.27538506,"Mianwali"
300,32.22455444,71.32221736,"Mianwali"
